Date,Close/Last,Volume,Open,High,Low
04/03/2023,$19.00,921958,$19.20,$19.23,$18.70
03/31/2023,$19.25,1187235,$18.35,$19.25,$18.30
03/30/2023,$18.28,1313622,$18.25,$18.76,$18.21
03/29/2023,$18.04,1787297,$18.21,$18.25,$17.80
03/28/2023,$18.02,2083605,$18.10,$18.36,$17.90
03/27/2023,$18.03,2353765,$17.96,$18.23,$17.66
03/24/2023,$17.76,1051023,$17.92,$18.09,$17.72
03/23/2023,$18.12,1764231,$18.40,$18.72,$17.75
03/22/2023,$18.19,1465133,$18.75,$19.00,$18.18
03/21/2023,$18.65,1421683,$18.40,$18.97,$18.38
03/20/2023,$18.09,1286419,$18.32,$18.51,$17.87
03/17/2023,$18.19,1178932,$18.30,$18.43,$17.90
03/16/2023,$18.43,1657035,$17.44,$18.44,$17.29
03/15/2023,$17.60,1305516,$17.34,$17.70,$17.22
03/14/2023,$17.89,1512997,$17.90,$18.27,$17.67
03/13/2023,$17.39,1439317,$17.11,$17.71,$16.98
03/10/2023,$17.42,1729087,$17.93,$18.00,$17.27
03/09/2023,$17.99,1316892,$18.67,$18.81,$17.91
03/08/2023,$18.71,824431,$18.71,$18.79,$18.51
03/07/2023,$18.82,1060737,$19.20,$19.34,$18.75
03/06/2023,$19.16,1387235,$19.50,$19.59,$18.96
